Timestamp,Flex_Value,Accel_X,Accel_Y,Accel_Z,Stability,Intensity,Direction,Rep_Count
15:55:13,112.1,-0.359,-0.357,0.051,0.259,0.0016,STILL,0
15:55:13,112.7,-0.360,-0.355,0.050,0.258,0.0023,STILL,0
15:55:13,113.8,-0.361,-0.354,0.050,0.258,0.0020,STILL,0
15:55:13,114.3,-0.362,-0.352,0.051,0.257,0.0017,STILL,0
15:55:13,114.2,-0.362,-0.351,0.051,0.257,0.0010,STILL,0
15:55:13,114.0,-0.361,-0.350,0.051,0.256,0.0012,STILL,0
15:55:13,113.1,-0.359,-0.350,0.052,0.254,0.0026,STILL,0
15:55:13,112.7,-0.356,-0.351,0.052,0.253,0.0024,STILL,0
15:55:13,115.2,-0.355,-0.353,0.053,0.253,0.0021,STILL,0
15:55:13,116.5,-0.354,-0.354,0.052,0.254,0.0021,STILL,0
15:55:13,117.8,-0.354,-0.357,0.051,0.255,0.0024,STILL,0
15:55:13,117.5,-0.355,-0.358,0.049,0.257,0.0025,STILL,0
15:55:13,117.6,-0.354,-0.359,0.048,0.257,0.0014,STILL,0
15:55:13,117.7,-0.353,-0.360,0.049,0.256,0.0016,STILL,0
15:55:13,117.9,-0.350,-0.360,0.051,0.255,0.0033,STILL,0
15:55:13,117.0,-0.347,-0.360,0.052,0.253,0.0034,STILL,0
15:55:13,117.3,-0.344,-0.360,0.053,0.251,0.0026,STILL,0
15:55:13,115.5,-0.343,-0.361,0.054,0.251,0.0020,STILL,0
15:55:13,114.7,-0.342,-0.363,0.055,0.251,0.0018,STILL,0
15:55:13,113.5,-0.341,-0.364,0.056,0.252,0.0023,STILL,0
15:55:13,114.6,-0.338,-0.365,0.058,0.251,0.0036,STILL,0
15:55:13,116.6,-0.334,-0.367,0.060,0.250,0.0050,STILL,0
15:55:13,117.7,-0.330,-0.368,0.062,0.248,0.0044,STILL,0
15:55:13,116.3,-0.325,-0.368,0.063,0.246,0.0047,STILL,0
15:55:13,116.6,-0.321,-0.367,0.065,0.242,0.0047,STILL,0
15:55:13,115.2,-0.314,-0.364,0.066,0.236,0.0083,STILL,0
15:55:13,115.0,-0.310,-0.362,0.066,0.231,0.0049,STILL,0
15:55:13,115.8,-0.300,-0.360,0.070,0.224,0.0106,RIGHT,0
15:55:13,116.2,-0.301,-0.361,0.072,0.226,0.0029,STILL,0
15:55:14,117.1,-0.309,-0.366,0.066,0.234,0.0111,LEFT,0
15:55:14,117.0,-0.327,-0.367,0.058,0.245,0.0195,LEFT,0
15:55:14,118.0,-0.340,-0.367,0.052,0.253,0.0145,LEFT,0
